2023-01-11 01:11:01.644 +03 [3292] СООБЩЕНИЕ:  система БД была выключена: 2023-01-11 01:10:55 +03
2023-01-11 01:16:01.645 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: time
2023-01-11 01:17:49.404 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 998 (6.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=107.659 сек., синхр.=0.096 сек., всего=107.761 сек.; синхронизировано_файлов=280, самая_долгая_синхр.=0.003 сек., средняя=0.001 сек.; расстояние=4621 kB, ожидалось=4621 kB
2023-01-11 01:44:36.984 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2023-01-11 01:44:36.995 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.011 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=11 kB, ожидалось=4160 kB
2023-01-11 01:49:37.002 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: time
2023-01-11 01:51:17.350 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 925 (5.6%); добавлено файлов WAL 1, удалено: 0, переработано: 0; запись=100.238 сек., синхр.=0.081 сек., всего=100.348 сек.; синхронизировано_файлов=249, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=4227 kB, ожидалось=4227 kB
2023-01-11 02:59:06.781 +03 [15580] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-01-11 02:59:06.781 +03 [8248] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-01-13 00:39:28.941 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: immediate force wait
2023-01-13 00:39:28.967 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.003 сек., синхр.=0.001 сек., всего=0.032 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=3804 kB
2023-01-13 00:44:28.971 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: time
2023-01-13 00:46:09.071 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 925 (5.6%); добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=99.971 сек., синхр.=0.112 сек., всего=100.101 сек.; синхронизировано_файлов=249, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=4227 kB, ожидалось=4227 kB
2023-01-13 00:49:28.094 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: time
2023-01-13 00:51:08.813 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 925 (5.6%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=100.599 сек., синхр.=0.107 сек., всего=100.721 сек.; синхронизировано_файлов=249, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=4241 kB, ожидалось=4241 kB
2023-01-13 00:54:28.844 +03 [10632] СООБЩЕНИЕ:  начата контрольная точка: time
2023-01-13 00:54:29.189 +03 [10632] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.333 сек., синхр.=0.004 сек., всего=0.347 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=3 kB, ожидалось=3817 kB
2023-01-13 01:01:23.490 +03 [4680] РћРЁРР‘РљРђ:  РІС‹РїРѕР»РЅРµРЅРёРµ РѕРїРµСЂР°С‚РѕСЂР° РѕС‚РјРµРЅРµРЅРѕ РїРѕ Р·Р°РїСЂРѕСЃСѓ РїРѕР»СЊР·РѕРІР°С‚РµР»СЏ
2023-01-13 01:01:23.490 +03 [4680] РћРџР•Р РђРўРћР :  SELECT pg_catalog.pg_cancel_backend(4680);
2023-01-13 01:01:27.157 +03 [4680] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2023-01-13 01:01:27.157 +03 [4680] РћРџР•Р РђРўРћР :  SELECT pg_catalog.pg_terminate_backend(4680);
2023-01-13 01:01:27.281 +03 [11836] РџР Р•Р”РЈРџР Р•Р–Р”Р•РќРР•:  PID 4680 РЅРµ РѕС‚РЅРѕСЃРёС‚СЃСЏ Рє РѕР±СЃР»СѓР¶РёРІР°СЋС‰РµРјСѓ РїСЂРѕС†РµСЃСЃСѓ PostgreSQL
2023-01-13 01:01:35.652 +03 [11836] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-01-13 01:01:35.660 +03 [12092] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
